iter	Passed	Remaining
717	54492	21402
718	54564	21324
719	54637	21248
720	54707	21169
721	54771	21089
722	54835	21008
723	54904	20930
724	54976	20853
725	55054	20778
726	55123	20699
727	55200	20624
728	55268	20545
729	55340	20468
730	55404	20388
731	55473	20309
732	55542	20231
733	55613	20154
734	55687	20077
735	55768	20003
736	55841	19927
737	55908	19848
738	55987	19773
739	56096	19709
740	56174	19634
741	56255	19560
742	56326	19483
743	56389	19402
744	56457	19324
745	56525	19245
746	56591	19166
747	56668	19091
748	56726	19009
749	56794	18931
750	56871	18856
751	56941	18778
752	57019	18703
753	57085	18624
754	57152	18546
755	57219	18467
756	57287	18389
757	57358	18312
758	57431	18235
759	57493	18155
760	57558	18076
761	57630	18000
762	57703	17923
763	57775	17846
764	57845	17769
765	57909	17690
766	57977	17612
767	58057	17538
768	58135	17463
769	58203	17385
770	58291	17313
771	58361	17236
772	58433	17159
773	58495	17080
774	58572	17004
775	58640	16927
776	58702	16847
777	58776	16771
778	58852	16696
779	58915	16617
780	58991	16541
781	59061	16464
782	59130	16387
783	59209	16312
784	59343	16253
785	59464	16190
786	59583	16126
787	59709	16063
788	59819	15997
789	59892	15920
790	59962	15843
791	60067	15775
792	60163	15704
793	60249	15631
794	60318	15553
795	60411	15482
796	60554	15423
797	60705	15366
798	60826	15301
799	60898	15224
800	60967	15146
801	61038	15069
802	61102	14990
803	61168	14911
804	61305	14850
805	61385	14775
806	61454	14697
807	61545	14624
808	61618	14547
809	61698	14472
810	61772	14395
811	61838	14317
812	61913	14240
813	61980	14162
814	62064	14088
815	62141	14012
816	62207	13933
817	62276	13856
818	62363	13782
819	62442	13706
820	62514	13629
821	62607	13557
822	62683	13481
823	62748	13402
824	62824	13326
825	62902	13250
826	62969	13172
827	63045	13096
828	63117	13019
829	63185	12941
830	63256	12864
831	63330	12787
832	63390	12708
833	63467	12632
834	63541	12556
835	63616	12479
836	63688	12402
837	63755	12325
838	63834	12249
839	63905	12172
840	64002	12100
841	64106	12029
842	64181	11953
843	64253	11876
844	64332	11800
845	64402	11723
846	64471	11645
847	64540	11568
848	64610	11491
849	64680	11414
850	64744	11336
851	64818	11259
852	64890	11182
853	64964	11106
854	65040	11030
855	65118	10954
856	65186	10877
857	65252	10799
858	65319	10721
859	65387	10644
860	65457	10567
861	65532	10491
862	65603	10414
863	65672	10337
864	65742	10260
865	65838	10187
866	65917	10111
867	65982	10034
868	66068	9959
869	66142	9883
870	66229	9808
871	66298	9731
872	66369	9655
873	66437	9577
874	66515	9502
875	66587	9425
876	66658	9348
877	66738	9273
878	66816	9197
879	66887	9120
880	66952	9043
881	67034	8968
882	67111	8892
883	67174	8814
884	67249	8738
885	67322	8662
886	67401	8586
887	67471	8509
888	67560	8435
889	67639	8359
890	67713	8283
891	67790	8207
892	67862	8131
893	67944	8056
894	68038	7982
